DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,300,0,0.0000
4659,608217,300,24,0.2704
4660,608223,300,12,2.8095
4662,608203,300,60,0.6194
4663,608224,300,12,0.3704
4664,608212,300,48,3.5411
4665,608204,300,60,0.5683
4666,608213,300,12,8.1768
4669,608201,300,168,1.9486
7633532,608230,300,84,29.3639
7674949,608222,300,0,0.0000
7674950,608221,300,0,0.0208
7674955,608202,300,60,1.0626
7674956,608206,300,0,0.0000
7674957,608209,300,288,40.0289
7678624,608205,300,144,1.6533
7678625,608219,300,36,0.4187
7678626,608207,300,36,0.3722
7678627,608208,300,12,0.1207
4656,608214,600,0,0.0000
4659,608217,600,36,0.4076
4660,608223,600,0,0.4659
4662,608203,600,84,0.8500
4663,608224,600,48,6.5469
4664,608212,600,120,18.3557
4665,608204,600,108,1.0243
4666,608213,600,0,0.0000
4669,608201,600,84,0.9473
7633532,608230,600,144,26.1751
7674949,608222,600,0,0.0000
7674950,608221,600,0,0.0000
7674955,608202,600,108,28.0499
7674956,608206,600,0,0.0000
7674957,608209,600,204,37.1563
7678624,608205,600,108,1.2389
7678625,608219,600,72,0.8027
7678626,608207,600,60,0.6216
7678627,608208,600,48,0.5006
4656,608214,900,0,0.0000
4659,608217,900,24,0.2815
4660,608223,900,0,0.0000
4662,608203,900,96,0.9634
4663,608224,900,24,3.1429
4664,608212,900,72,6.0352
4665,608204,900,36,0.3551
4666,608213,900,0,0.0000
4669,608201,900,120,1.3493
7633532,608230,900,144,26.7420
7674949,608222,900,0,0.0000
7674950,608221,900,0,0.0000
7674955,608202,900,36,9.1261
7674956,608206,900,0,0.0000
7674957,608209,900,240,46.2675
7678624,608205,900,132,1.4756
7678625,608219,900,12,0.1162
7678626,608207,900,48,0.4880
7678627,608208,900,60,0.6222
4656,608214,1200,0,0.0000
4659,608217,1200,36,0.3831
4660,608223,1200,12,3.3398
4662,608203,1200,132,1.3096
4663,608224,1200,12,1.1008
4664,608212,1200,132,26.9789
4665,608204,1200,72,0.8039
4666,608213,1200,0,0.0000
4669,608201,1200,144,1.6641
7633532,608230,1200,168,24.5437
7674949,608222,1200,0,0.0000
7674950,608221,1200,0,0.0000
7674955,608202,1200,48,13.2529
7674956,608206,1200,0,0.0000
7674957,608209,1200,336,52.8599
7678624,608205,1200,180,2.0898
7678625,608219,1200,12,0.1677
7678626,608207,1200,48,0.5162
7678627,608208,1200,72,0.6441
4656,608214,1500,0,0.0000
4659,608217,1500,108,1.3661
4660,608223,1500,0,0.0000
4662,608203,1500,60,0.6063
4663,608224,1500,12,0.3919
4664,608212,1500,96,11.1601
4665,608204,1500,60,0.5878
4666,608213,1500,12,1.5076
4669,608201,1500,96,1.0783
7633532,608230,1500,96,21.4649
7674949,608222,1500,0,0.0000
7674950,608221,1500,0,0.0000
7674955,608202,1500,216,24.7758
7674956,608206,1500,12,0.4621
7674957,608209,1500,168,32.4286
7678624,608205,1500,108,1.1929
7678625,608219,1500,108,1.3244
7678626,608207,1500,36,0.3583
7678627,608208,1500,48,0.4813
4656,608214,1800,0,0.0000
4659,608217,1800,72,0.8024
4660,608223,1800,0,0.0000
4662,608203,1800,108,1.0944
4663,608224,1800,12,10.5283
4664,608212,1800,36,1.1148
4665,608204,1800,36,0.3527
4666,608213,1800,0,0.0000
4669,608201,1800,192,2.1353
7633532,608230,1800,180,28.8502
7674949,608222,1800,0,0.0000
7674950,608221,1800,0,0.0000
7674955,608202,1800,144,23.2675
7674956,608206,1800,0,0.0000
7674957,608209,1800,348,43.6156
7678624,608205,1800,168,2.0199
7678625,608219,1800,72,0.7959
7678626,608207,1800,72,0.7841
7678627,608208,1800,12,0.1205
4656,608214,2100,0,0.0000
4659,608217,2100,24,0.2707
4660,608223,2100,12,0.2802
4662,608203,2100,132,1.3240
4663,608224,2100,48,5.2375
4664,608212,2100,108,10.6156
4665,608204,2100,96,0.9571
4666,608213,2100,12,1.2932
4669,608201,2100,108,1.1821
7633532,608230,2100,192,27.6451
7674949,608222,2100,0,0.0000
7674950,608221,2100,0,0.0000
7674955,608202,2100,48,1.0538
7674956,608206,2100,0,0.0000
7674957,608209,2100,288,43.3505
7678624,608205,2100,228,2.7200
7678625,608219,2100,24,0.2940
7678626,608207,2100,72,0.7257
7678627,608208,2100,60,0.5964
4656,608214,2400,0,0.0000
4659,608217,2400,24,0.2670
4660,608223,2400,48,7.3174
4662,608203,2400,120,1.1999
4663,608224,2400,12,11.6037
4664,608212,2400,84,4.7777
4665,608204,2400,60,0.5852
4666,608213,2400,0,0.0000
4669,608201,2400,120,1.4591
7633532,608230,2400,144,19.8775
7674949,608222,2400,0,0.0000
7674950,608221,2400,0,0.0000
7674955,608202,2400,96,9.2281
7674956,608206,2400,0,0.0000
7674957,608209,2400,288,46.6484
7678624,608205,2400,156,1.7122
7678625,608219,2400,72,0.8519
7678626,608207,2400,72,0.7170
7678627,608208,2400,48,0.4718
4656,608214,2700,0,0.0000
4659,608217,2700,24,0.2855
4660,608223,2700,36,4.9908
4662,608203,2700,120,1.2240
4663,608224,2700,24,13.1843
4664,608212,2700,60,6.0035
4665,608204,2700,48,0.4922
4666,608213,2700,12,1.9584
4669,608201,2700,204,2.3155
7633532,608230,2700,108,14.3432
7674949,608222,2700,0,0.0000
7674950,608221,2700,0,0.0000
7674955,608202,2700,72,12.8110
7674956,608206,2700,0,0.0000
7674957,608209,2700,348,47.5455
7678624,608205,2700,156,1.8058
7678625,608219,2700,48,0.5856
7678626,608207,2700,36,0.3795
7678627,608208,2700,24,0.2651
4656,608214,3000,0,0.0000
4659,608217,3000,48,0.5548
4660,608223,3000,12,0.9281
4662,608203,3000,132,1.2201
4663,608224,3000,36,20.3878
4664,608212,3000,156,15.0224
4665,608204,3000,120,1.1844
4666,608213,3000,0,0.0000
4669,608201,3000,168,1.8935
7633532,608230,3000,168,25.8950
7674949,608222,3000,0,0.0000
7674950,608221,3000,0,0.0000
7674955,608202,3000,108,23.0056
7674956,608206,3000,12,0.3993
7674957,608209,3000,252,55.8439
7678624,608205,3000,108,1.2353
7678625,608219,3000,72,0.8653
7678626,608207,3000,60,0.6262
7678627,608208,3000,72,0.7134
4656,608214,3300,0,0.0000
4659,608217,3300,72,0.8501
4660,608223,3300,12,0.2448
4662,608203,3300,144,1.2541
