DetectorAimsunID,DetectorFieldID,Time(sec),flow(vph),occupancy(%)
4656,608214,21900,0,0.0000
4659,608217,21900,576,6.9264
4660,608223,21900,0,100.0000
4662,608203,21900,96,57.4746
4663,608224,21900,0,100.0000
4664,608212,21900,528,92.3154
4665,608204,21900,0,0.0000
4666,608213,21900,72,99.3694
4669,608201,21900,96,83.6221
7633532,608230,21900,444,93.3936
7674949,608222,21900,0,0.0000
7674950,608221,21900,0,15.7567
7674955,608202,21900,1104,35.6488
7674956,608206,21900,0,0.0000
7674957,608209,21900,708,40.9355
7678624,608205,21900,672,36.3797
7678625,608219,21900,528,6.3891
7678626,608207,21900,360,72.4403
7678627,608208,21900,528,77.1813
4656,608214,22200,0,0.0000
4659,608217,22200,420,5.0429
4660,608223,22200,0,100.0000
4662,608203,22200,12,99.7094
4663,608224,22200,48,99.8881
4664,608212,22200,720,88.5468
4665,608204,22200,84,39.2980
4666,608213,22200,84,99.5992
4669,608201,22200,96,39.0488
7633532,608230,22200,540,71.4664
7674949,608222,22200,0,0.0000
7674950,608221,22200,0,88.3443
7674955,608202,22200,720,50.4595
7674956,608206,22200,0,0.0000
7674957,608209,22200,348,41.8771
7678624,608205,22200,420,41.1495
7678625,608219,22200,300,3.6033
7678626,608207,22200,456,61.6922
7678627,608208,22200,588,78.0898
4656,608214,22500,0,0.0000
4659,608217,22500,504,6.1046
4660,608223,22500,0,99.7333
4662,608203,22500,0,100.2667
4663,608224,22500,12,100.0000
4664,608212,22500,492,92.4165
4665,608204,22500,24,98.5636
4666,608213,22500,132,99.7836
4669,608201,22500,132,56.9389
7633532,608230,22500,360,67.7060
7674949,608222,22500,0,0.0000
7674950,608221,22500,0,40.1562
7674955,608202,22500,912,52.6278
7674956,608206,22500,48,1.3102
7674957,608209,22500,600,40.7515
7678624,608205,22500,552,39.5468
7678625,608219,22500,456,5.4073
7678626,608207,22500,408,59.2365
7678627,608208,22500,564,78.9969
4656,608214,22800,0,0.0000
4659,608217,22800,360,4.1555
4660,608223,22800,0,100.0000
4662,608203,22800,0,100.0000
4663,608224,22800,84,99.7690
4664,608212,22800,684,88.9682
4665,608204,22800,84,96.8028
4666,608213,22800,96,99.5592
4669,608201,22800,84,96.3124
7633532,608230,22800,408,80.9231
7674949,608222,22800,0,0.0000
7674950,608221,22800,0,4.2269
7674955,608202,22800,600,46.4648
7674956,608206,22800,24,1.1847
7674957,608209,22800,372,46.6937
7678624,608205,22800,492,49.4213
7678625,608219,22800,264,3.0753
7678626,608207,22800,324,20.6439
7678627,608208,22800,588,78.3274
4656,608214,23100,0,0.0000
4659,608217,23100,576,7.5831
4660,608223,23100,0,100.0000
4662,608203,23100,0,100.0000
4663,608224,23100,156,96.8399
4664,608212,23100,528,92.3122
4665,608204,23100,228,91.3752
4666,608213,23100,144,99.5210
4669,608201,23100,144,92.6780
7633532,608230,23100,240,83.3341
7674949,608222,23100,0,0.0000
7674950,608221,23100,0,55.2963
7674955,608202,23100,1152,54.6678
7674956,608206,23100,36,1.0195
7674957,608209,23100,876,45.9567
7678624,608205,23100,816,51.5302
7678625,608219,23100,600,8.0242
7678626,608207,23100,264,7.8774
7678627,608208,23100,576,66.0009
4656,608214,23400,0,0.0000
4659,608217,23400,384,5.1697
4660,608223,23400,0,100.0000
4662,608203,23400,0,100.0000
4663,608224,23400,156,98.1828
4664,608212,23400,804,89.0385
4665,608204,23400,300,88.3057
4666,608213,23400,84,99.8536
4669,608201,23400,120,94.9449
7633532,608230,23400,324,80.2759
7674949,608222,23400,0,0.0000
7674950,608221,23400,0,51.4230
7674955,608202,23400,864,50.7246
7674956,608206,23400,36,1.5102
7674957,608209,23400,504,45.8704
7678624,608205,23400,516,43.3087
7678625,608219,23400,528,6.5517
7678626,608207,23400,312,9.0123
7678627,608208,23400,552,67.5214
4656,608214,23700,0,0.0000
4659,608217,23700,348,17.4892
4660,608223,23700,0,100.0000
4662,608203,23700,0,100.0000
4663,608224,23700,96,100.2667
4664,608212,23700,612,93.1456
4665,608204,23700,348,85.5951
4666,608213,23700,156,99.2105
4669,608201,23700,144,96.0959
7633532,608230,23700,240,81.0253
7674949,608222,23700,0,0.0000
7674950,608221,23700,0,41.5711
7674955,608202,23700,852,50.8299
7674956,608206,23700,36,1.2282
7674957,608209,23700,696,37.3014
7678624,608205,23700,732,43.6426
7678625,608219,23700,528,18.1601
7678626,608207,23700,276,3.5863
7678627,608208,23700,456,82.7720
4656,608214,24000,0,0.0000
4659,608217,24000,576,20.5906
4660,608223,24000,0,100.0000
4662,608203,24000,0,100.5333
4663,608224,24000,96,94.3192
4664,608212,24000,996,90.9726
4665,608204,24000,528,54.0670
4666,608213,24000,84,100.3135
4669,608201,24000,96,66.2953
7633532,608230,24000,348,70.3211
7674949,608222,24000,0,0.0000
7674950,608221,24000,0,1.6713
7674955,608202,24000,1056,59.7390
7674956,608206,24000,36,1.3404
7674957,608209,24000,720,60.9339
7678624,608205,24000,708,62.7356
7678625,608219,24000,576,9.7001
7678626,608207,24000,300,6.8291
7678627,608208,24000,468,81.9642
4656,608214,24300,0,0.0000
4659,608217,24300,660,9.2051
4660,608223,24300,0,100.0000
4662,608203,24300,0,100.0000
4663,608224,24300,120,57.6249
4664,608212,24300,612,93.0322
4665,608204,24300,444,68.1968
4666,608213,24300,156,99.4004
4669,608201,24300,192,89.6465
7633532,608230,24300,192,73.8146
7674949,608222,24300,0,0.0000
7674950,608221,24300,0,4.8071
7674955,608202,24300,1332,59.1845
7674956,608206,24300,72,2.3903
7674957,608209,24300,1080,46.2660
7678624,608205,24300,1056,45.0801
7678625,608219,24300,660,8.5945
7678626,608207,24300,204,2.6648
7678627,608208,24300,384,85.3801
4656,608214,24600,0,0.0000
4659,608217,24600,444,6.0148
4660,608223,24600,0,99.7333
4662,608203,24600,0,100.0000
4663,608224,24600,84,95.9788
4664,608212,24600,948,91.4168
4665,608204,24600,456,69.0281
4666,608213,24600,96,99.8576
4669,608201,24600,60,64.3778
7633532,608230,24600,408,79.8335
7674949,608222,24600,0,0.0000
7674950,608221,24600,0,34.9160
7674955,608202,24600,852,53.5406
7674956,608206,24600,84,14.5586
7674957,608209,24600,480,34.3815
7678624,608205,24600,516,45.6524
7678625,608219,24600,516,6.5668
7678626,608207,24600,396,20.1325
7678627,608208,24600,492,81.4286
4656,608214,24900,0,0.0000
4659,608217,24900,636,9.9519
4660,608223,24900,0,100.0000
4662,608203,24900,0,100.0000
4663,608224,24900,36,100.0000
4664,608212,24900,504,91.6747
4665,608204,24900,144,57.2200
4666,608213,24900,144,98.6705
4669,608201,24900,144,90.9444
7633532,608230,24900,348,81.8901
7674949,608222,24900,0,0.0000
7674950,608221,24900,0,37.0902
7674955,608202,24900,1308,60.7854
7674956,608206,24900,12,0.4170
7674957,608209,24900,960,38.9326
7678624,608205,24900,960,29.9982
7678625,608219,24900,624,9.9832
7678626,608207,24900,372,8.2049
7678627,608208,24900,504,81.6770
4656,608214,25200,0,0.0000
4659,608217,25200,552,8.5049
4660,608223,25200,0,100.0000
4662,608203,25200,0,100.0000
4663,608224,25200,120,100.1668
4664,608212,25200,816,88.3005
4665,608204,25200,240,90.3711
4666,608213,25200,96,99.6111
4669,608201,25200,60,96.9253
7633532,608230,25200,396,72.8370
7674949,608222,25200,0,0.0000
7674950,608221,25200,0,35.0442
7674955,608202,25200,984,57.7659
7674956,608206,25200,24,0.9664
7674957,608209,25200,600,36.9250
7678624,608205,25200,708,40.1924
7678625,608219,25200,540,7.8133
7678626,608207,25200,372,12.5851
7678627,608208,25200,576,78.8900
4656,608214,25500,0,0.0000
4659,608217,25500,564,8.2497
4660,608223,25500,0,100.0000
4662,608203,25500,0,100.0000
4663,608224,25500,84,99.7474
4664,608212,25500,588,92.2631
4665,608204,25500,252,63.3289
4666,608213,25500,144,99.3092
4669,608201,25500,120,95.3808
7633532,608230,25500,300,82.5335
7674949,608222,25500,0,0.0000
7674950,608221,25500,0,45.0444
7674955,608202,25500,1296,58.5472
7674956,608206,25500,12,0.4002
7674957,608209,25500,576,48.1825
7678624,608205,25500,564,42.4738
7678625,608219,25500,660,9.3131
7678626,608207,25500,408,9.3223
7678627,608208,25500,540,79.9634
4656,608214,25800,0,0.0000
4659,608217,25800,648,15.0663
4660,608223,25800,0,100.0000
4662,608203,25800,0,100.0000
4663,608224,25800,96,99.6133
4664,608212,25800,840,88.8052
4665,608204,25800,312,86.9605
4666,608213,25800,84,99.6455
4669,608201,25800,84,96.9573
7633532,608230,25800,492,80.0668
7674949,608222,25800,0,0.0000
7674950,608221,25800,0,30.5910
7674955,608202,25800,1008,56.3844
7674956,608206,25800,48,1.6539
7674957,608209,25800,540,56.1359
7678624,608205,25800,576,34.8782
7678625,608219,25800,504,19.5471
7678626,608207,25800,420,40.1356
7678627,608208,25800,540,79.4605
4656,608214,26100,0,0.0000
4659,608217,26100,564,10.9013
4660,608223,26100,0,100.0000
4662,608203,26100,0,100.0000
4663,608224,26100,12,99.7333
4664,608212,26100,516,91.1453
4665,608204,26100,36,98.4796
4666,608213,26100,120,99.7546
4669,608201,26100,120,60.1808
7633532,608230,26100,360,90.6677
7674949,608222,26100,0,0.0000
7674950,608221,26100,0,76.5901
7674955,608202,26100,1224,58.7437
7674956,608206,26100,12,0.4185
7674957,608209,26100,1032,60.0629
7678624,608205,26100,996,43.8244
7678625,608219,26100,576,12.1424
7678626,608207,26100,420,33.7269
7678627,608208,26100,564,14.8957
4656,608214,26400,0,0.0000
4659,608217,26400,588,22.8567
4660,608223,26400,0,100.0000
4662,608203,26400,0,100.0000
4663,608224,26400,0,100.0000
4664,608212,26400,732,87.9153
4665,608204,26400,0,100.0000
4666,608213,26400,84,99.8096
4669,608201,26400,72,97.2870
7633532,608230,26400,600,87.2200
7674949,608222,26400,0,0.0000
7674950,608221,26400,0,1.8656
7674955,608202,26400,1044,58.6744
7674956,608206,26400,60,2.3206
7674957,608209,26400,504,41.9327
7678624,608205,26400,624,54.7742
7678625,608219,26400,612,24.2629
7678626,608207,26400,528,55.1927
7678627,608208,26400,648,63.5378
4656,608214,26700,0,0.0000
4659,608217,26700,600,22.2731
4660,608223,26700,0,100.0000
4662,608203,26700,0,100.0000
4663,608224,26700,60,99.8293
4664,608212,26700,528,91.4113
4665,608204,26700,72,97.4827
4666,608213,26700,108,99.3999
4669,608201,26700,108,83.0620
7633532,608230,26700,396,88.0542
7674949,608222,26700,0,0.0000
7674950,608221,26700,0,51.2987
7674955,608202,26700,1380,61.4396
7674956,608206,26700,0,0.0000
7674957,608209,26700,660,53.1641
7678624,608205,26700,624,53.1938
7678625,608219,26700,660,22.7538
7678626,608207,26700,456,20.7780
7678627,608208,26700,624,51.2128
4656,608214,27000,0,0.0000
4659,608217,27000,564,13.3336
4660,608223,27000,0,100.0000
4662,608203,27000,0,100.0000
4663,608224,27000,60,99.5820
4664,608212,27000,780,87.6128
4665,608204,27000,144,94.7874
4666,608213,27000,96,99.9595
4669,608201,27000,72,73.4709
7633532,608230,27000,528,84.9352
7674949,608222,27000,0,0.0000
7674950,608221,27000,0,25.3805
7674955,608202,27000,960,55.4769
7674956,608206,27000,36,3.9236
7674957,608209,27000,816,64.8372
7678624,608205,27000,936,38.1461
7678625,608219,27000,576,13.4052
7678626,608207,27000,492,39.2560
7678627,608208,27000,576,78.0842
4656,608214,27300,0,0.0000
4659,608217,27300,504,26.2203
4660,608223,27300,48,99.4719
4662,608203,27300,48,97.9183
4663,608224,27300,60,99.9896
4664,608212,27300,444,84.4248
4665,608204,27300,60,97.8033
4666,608213,27300,156,99.3835
4669,608201,27300,156,95.1236
7633532,608230,27300,312,87.3624
7674949,608222,27300,0,0.0000
7674950,608221,27300,0,3.5603
7674955,608202,27300,1140,55.8769
7674956,608206,27300,48,8.8582
7674957,608209,27300,816,44.2479
7678624,608205,27300,756,49.5966
7678625,608219,27300,552,16.2428
7678626,608207,27300,360,75.0576
7678627,608208,27300,576,75.0468
4656,608214,27600,0,0.0000
4659,608217,27600,540,10.1745
4660,608223,27600,0,100.0000
4662,608203,27600,0,100.0000
4663,608224,27600,0,100.0000
4664,608212,27600,756,87.8534
4665,608204,27600,0,100.0000
4666,608213,27600,84,99.9433
4669,608201,27600,72,97.7294
7633532,608230,27600,612,88.8792
7674949,608222,27600,0,0.0000
7674950,608221,27600,0,67.1401
7674955,608202,27600,912,55.8168
7674956,608206,27600,36,1.3438
7674957,608209,27600,840,64.1054
7678624,608205,27600,888,50.2775
7678625,608219,27600,516,20.6569
7678626,608207,27600,552,77.2399
7678627,608208,27600,636,76.0446
4656,608214,27900,0,0.0000
4659,608217,27900,552,8.3290
4660,608223,27900,0,100.0000
4662,608203,27900,0,100.0000
4663,608224,27900,0,100.0000
4664,608212,27900,504,92.3498
